event_seed,rehandling,crane_distance_m,loading_time_min,fill_ratio,n_placements,n_dispatches,decision_ms,population
2000.0,4.0,23079.0,552.0749999999999,0.4704861111111111,314.0,93.0,2.186890127261319,0
2001.0,5.0,27063.0,621.0750000000002,0.5590277777777778,372.0,73.0,2.6962250000994366,1
2002.0,13.0,24210.0,618.1500000000001,0.4652777777777778,327.0,102.0,1.9614984710041836,2
2003.0,11.0,22830.0,581.4750000000001,0.4670138888888889,319.0,98.0,1.560986833893227,3
2004.0,11.0,29110.5,737.9999999999998,0.5329861111111112,416.0,123.0,1.8435312502228602,4
2005.0,12.0,21813.0,524.7750000000001,0.4791666666666667,295.0,75.0,1.1226152542187295,5
2006.0,12.0,26449.5,726.9000000000003,0.4722222222222222,361.0,99.0,2.0539872578277194,6
2007.0,10.0,30559.5,697.1249999999999,0.515625,394.0,120.0,2.4466804567369014,7
2008.0,6.0,24331.5,550.2000000000002,0.5208333333333334,337.0,89.0,2.429185459616204,8
2009.0,11.0,23298.0,614.7000000000004,0.4600694444444444,316.0,107.0,1.7123689873717265,9
2010.0,5.0,24853.5,576.075,0.5451388888888888,374.0,93.0,2.7649877003062877,10
2011.0,6.0,25690.5,697.6500000000001,0.4982638888888889,379.0,107.0,2.321393667448571,11
2012.0,7.0,20803.5,457.72500000000014,0.4947916666666667,288.0,75.0,2.176500000157628,12
2013.0,10.0,26554.5,642.1500000000001,0.5173611111111112,354.0,99.0,2.222226836125361,13
2014.0,9.0,27391.5,656.475,0.5416666666666666,380.0,92.0,3.4313181578717806,14
2015.0,9.0,33132.0,858.3,0.5486111111111112,446.0,113.0,3.959432062842375,15
2016.0,7.0,25162.5,638.9999999999999,0.4565972222222222,337.0,107.0,2.274399406593763,16
2017.0,5.0,25521.0,630.675,0.5052083333333334,360.0,88.0,2.840302777905082,17
2018.0,5.0,27627.0,569.6250000000002,0.5555555555555556,365.0,90.0,2.880393698722226,18
2019.0,11.0,21237.0,561.525,0.46875,300.0,88.0,3.9261416666946993,19
2020.0,5.0,23967.0,583.125,0.5052083333333334,339.0,88.0,2.5973377582255837,20
2021.0,8.0,27676.5,675.0000000000003,0.5104166666666666,363.0,97.0,2.719031404977255,21
2022.0,14.0,28056.0,742.9499999999999,0.4947916666666667,392.0,101.0,2.6937701529593086,22
2023.0,13.0,32863.5,842.1749999999997,0.5399305555555556,422.0,112.0,4.748625829202753,23
2024.0,10.0,26094.0,685.8000000000002,0.4496527777777778,344.0,110.0,3.2406194767074425,24
2025.0,8.0,26155.5,671.0250000000001,0.5,351.0,92.0,2.0790319089677274,25
2026.0,10.0,27655.5,795.5999999999998,0.484375,399.0,101.0,2.374884962115348,26
2027.0,4.0,24706.5,547.8,0.5277777777777778,339.0,87.0,2.357818878937106,27
2028.0,9.0,26044.5,651.3,0.4670138888888889,343.0,98.0,2.6674448978664955,28
2029.0,5.0,26721.0,663.75,0.5,374.0,110.0,2.6997112299649935,29
