event_seed,rehandling,crane_distance_m,loading_time_min,fill_ratio,n_placements,n_dispatches,decision_ms,population
2000.0,23.0,35742.0,1004.1750000000001,0.4704861111111111,314.0,93.0,0.42401433093818114,0
2001.0,32.0,42448.5,1193.925,0.5590277777777778,372.0,73.0,0.31760994629963846,1
2002.0,28.0,36750.0,1084.2,0.4652777777777778,327.0,102.0,0.35308409845015026,2
2003.0,33.0,38301.0,1156.3500000000001,0.4670138888888889,319.0,98.0,0.39700626971880354,3
2004.0,37.0,46983.0,1395.3750000000005,0.5329861111111112,416.0,123.0,0.43660048063779516,4
2005.0,17.0,31761.0,850.2,0.4791666666666667,295.0,75.0,0.3649230509743852,5
2006.0,39.0,41808.0,1265.8500000000004,0.4722222222222222,361.0,99.0,0.4366650968640746,6
2007.0,36.0,44742.0,1315.7249999999995,0.515625,394.0,120.0,0.36763324854563956,7
2008.0,17.0,35866.5,943.5,0.5208333333333334,337.0,89.0,0.29998130571112336,8
2009.0,35.0,37957.5,1189.1999999999994,0.4600694444444444,316.0,107.0,0.29250854447438335,9
2010.0,28.0,39828.0,1111.4249999999997,0.5451388888888888,374.0,93.0,0.3205508020623054,10
2011.0,37.0,43438.5,1344.5249999999999,0.4982638888888889,379.0,107.0,0.3097846964005587,11
2012.0,19.0,32251.5,887.0250000000002,0.4947916666666667,288.0,75.0,0.3038458332866867,12
2013.0,33.0,39231.0,1139.4750000000001,0.5173611111111112,354.0,99.0,0.32102796605079154,13
2014.0,39.0,43924.5,1253.6999999999996,0.5416666666666666,380.0,92.0,0.29767605259334423,14
2015.0,49.0,50514.0,1566.6000000000006,0.5486111111111112,446.0,113.0,0.336147981941582,15
2016.0,29.0,40242.0,1209.6749999999997,0.4565972222222222,337.0,107.0,0.3631178037951236,16
2017.0,38.0,41884.5,1242.9749999999997,0.5052083333333334,360.0,88.0,0.2849655557333285,17
2018.0,38.0,41451.0,1191.4500000000007,0.5555555555555556,365.0,90.0,0.37350520529076203,18
2019.0,30.0,33177.0,1010.55,0.46875,300.0,88.0,0.31373700010590255,19
2020.0,25.0,36355.5,1050.5249999999999,0.5052083333333334,339.0,88.0,0.34298318601608313,20
2021.0,37.0,41580.0,1255.7250000000001,0.5104166666666666,363.0,97.0,0.3081581270442147,21
2022.0,37.0,46050.0,1400.4750000000001,0.4947916666666667,392.0,101.0,0.28039770430560956,22
2023.0,48.0,50361.0,1502.1750000000004,0.5399305555555556,422.0,112.0,0.29378151653847057,23
2024.0,30.0,42418.5,1306.8750000000002,0.4496527777777778,344.0,110.0,0.3324023254906426,24
2025.0,31.0,39478.5,1137.1500000000003,0.5,351.0,92.0,0.37131766370594493,25
2026.0,39.0,48421.5,1519.0500000000006,0.484375,399.0,101.0,0.36106716786315174,26
2027.0,33.0,38299.5,1097.5500000000002,0.5277777777777778,339.0,87.0,0.35348053085209064,27
2028.0,35.0,41130.0,1274.4750000000006,0.4670138888888889,343.0,98.0,0.36716938772952895,28
2029.0,32.0,41920.5,1217.5500000000004,0.5,374.0,110.0,0.2816983956084425,29
